iter	Passed	Remaining
401	15766	23453
402	15800	23407
403	15830	23354
404	15860	23301
405	15937	23316
406	15962	23257
407	16028	23257
408	16052	23195
409	16118	23195
410	16144	23136
411	16198	23117
412	16222	23057
413	16295	23065
414	16320	23006
415	16337	22935
416	16384	22906
417	16407	22845
418	16446	22805
419	16472	22748
420	16520	22720
421	16546	22663
422	16590	22629
423	16611	22566
424	16649	22525
425	16679	22474
426	16699	22409
427	16742	22375
428	16771	22322
429	16825	22303
430	16848	22242
431	16882	22196
432	16906	22138
433	16940	22092
434	16976	22050
435	17060	22068
436	17092	22021
437	17180	22044
438	17209	21992
439	17255	21961
440	17292	21919
441	17319	21865
442	17378	21850
443	17411	21803
444	17471	21790
445	17493	21729
446	17545	21705
447	17570	21649
448	17624	21628
449	17654	21577
450	17725	21576
451	17753	21523
452	17810	21506
453	17833	21446
454	17915	21459
455	17945	21408
456	17981	21364
457	18026	21332
458	18107	21341
459	18145	21300
460	18213	21294
461	18276	21283
462	18371	21307
463	18401	21256
464	18480	21262
465	18502	21202
466	18587	21214
467	18605	21150
468	18652	21118
469	18681	21066
470	18759	21070
471	18786	21015
472	18853	21005
473	18883	20955
474	18924	20917
475	18947	20857
476	18981	20812
477	19002	20752
478	19050	20721
479	19078	20667
480	19148	20661
481	19167	20598
482	19233	20587
483	19251	20524
484	19299	20493
485	19321	20434
486	19345	20377
487	19408	20362
488	19491	20368
489	19513	20309
490	19536	20252
491	19573	20210
492	19597	20153
493	19654	20131
494	19679	20077
495	19728	20046
496	19755	19993
497	19811	19970
498	19827	19907
499	19847	19847
500	19891	19812
501	19914	19756
502	19964	19726
503	19988	19671
504	20035	19638
505	20060	19584
506	20087	19532
507	20132	19498
508	20161	19448
509	20207	19414
510	20233	19362
511	20257	19307
512	20299	19270
513	20330	19222
514	20378	19191
515	20404	19139
516	20465	19119
517	20486	19062
518	20532	19028
519	20561	18979
520	20610	18948
521	20627	18889
522	20661	18844
523	20687	18792
524	20713	18740
525	20741	18691
526	20760	18633
527	20792	18587
528	20811	18529
529	20886	18522
530	20905	18464
531	20939	18420
532	20965	18369
533	21016	18340
534	21041	18288
535	21074	18243
536	21150	18236
537	21200	18205
538	21223	18152
539	21242	18095
540	21289	18062
541	21308	18005
542	21323	17946
543	21363	17907
544	21385	17854
545	21436	17824
546	21456	17768
547	21502	17735
548	21545	17699
549	21564	17643
550	21581	17586
551	21619	17545
552	21633	17487
553	21669	17444
554	21688	17389
555	21720	17345
556	21740	17290
557	21776	17249
558	21804	17201
559	21847	17165
560	21876	17118
561	21937	17096
562	21961	17046
563	21990	16999
564	22030	16961
565	22051	16908
566	22100	16877
567	22123	16826
568	22158	16784
569	22180	16732
570	22204	16682
571	22226	16630
572	22245	16577
573	22278	16534
574	22296	16479
575	22321	16430
576	22342	16379
577	22367	16330
578	22401	16288
579	22425	16239
580	22512	16235
581	22527	16179
582	22574	16146
583	22611	16106
584	22689	16095
585	22736	16063
586	22754	16009
587	22789	15968
588	22820	15923
589	22869	15892
590	22889	15840
591	22927	15801
592	22951	15752
593	23010	15727
594	23036	15680
595	23071	15639
596	23092	15588
597	23122	15543
598	23177	15516
599	23205	15470
600	23268	15447
601	23305	15407
602	23363	15381
603	23390	15335
604	23433	15299
605	23458	15251
606	23490	15208
607	23521	15164
608	23537	15112
609	23571	15070
610	23592	15020
611	23653	14996
612	23690	14956
613	23733	14920
614	23748	14866
615	23853	14869
616	23871	14818
617	23899	14772
618	23969	14753
619	24002	14711
620	24053	14680
621	24089	14639
622	24196	14641
623	24235	14603
624	24278	14567
625	24316	14527
626	24364	14494
627	24458	14487
628	24498	14449
629	24573	14431
630	24595	14383
631	24633	14343
632	24653	14293
633	24723	14272
634	24743	14222
635	24787	14186
636	24811	14139
637	24867	14109
638	24893	14063
639	24962	14041
640	25000	14002
641	25084	13987
642	25111	13942
643	25140	13897
644	25228	13885
645	25245	13834
646	25300	13804
647	25371	13782
648	25417	13746
649	25548	13756
650	25593	13720
651	25619	13674
652	25693	13653
653	25711	13602
654	25779	13578
655	25804	13531
656	25869	13505
657	25896	13459
658	25923	13413
659	25976	13381
660	26001	13334
661	26085	13318
662	26118	13276
663	26185	13250
664	26210	13203
665	26258	13168
666	26290	13125
667	26347	13095
668	26372	13048
669	26437	13021
670	26460	12973
671	26538	12953
672	26566	12908
673	26668	12898
674	26682	12847
675	26749	12820
676	26769	12771
677	26829	12742
678	26856	12696
679	26889	12653
680	26959	12628
681	26985	12582
682	27125	12589
683	27151	12543
684	27246	12529
685	27390	12537
686	27424	12494
687	27557	12497
688	27596	12456
689	27649	12422
