iter	Logloss
0	0.6749914996
1	0.6581222296
2	0.6427203751
3	0.628408725
4	0.6147603354
5	0.6018393308
6	0.590894554
7	0.5804154825
8	0.5700976719
9	0.5602911538
10	0.5517820865
11	0.5434841778
12	0.5360244886
13	0.5287351534
14	0.5221858007
15	0.5161478828
16	0.5107361026
17	0.5055319668
18	0.5004474651
19	0.4964694153
20	0.4925008001
21	0.4886613529
22	0.4846323134
23	0.4813009131
24	0.477686434
25	0.4746519347
26	0.4717876345
27	0.4691131655
28	0.4669179059
29	0.4646285381
30	0.462413663
31	0.4604127641
32	0.4583950951
33	0.4564357599
34	0.4549898564
35	0.4533757773
36	0.4520073018
37	0.4503804867
38	0.4489886005
39	0.4478235088
40	0.446836578
41	0.4455998277
42	0.4445526746
43	0.4436963821
44	0.4427321246
45	0.4417772966
46	0.4410135904
47	0.4402313294
48	0.4394788692
49	0.4385798921
50	0.4379091832
51	0.43744726
52	0.4367040411
53	0.4360325228
54	0.4353788629
55	0.4349324763
56	0.4343230972
57	0.4338157907
58	0.4333301819
59	0.432938777
60	0.4324876233
61	0.4320345963
62	0.4315940446
63	0.4311276707
64	0.4305917833
65	0.4302695703
66	0.4297392019
67	0.4293994223
68	0.4290262379
69	0.4287343928
70	0.4284164653
71	0.4279798764
72	0.427701444
73	0.4272992691
74	0.4269822706
75	0.4266391177
76	0.426257057
77	0.4259605064
78	0.4257094759
79	0.425450996
80	0.4252296269
81	0.4249686596
82	0.4246115013
83	0.4243675426
84	0.4241561726
85	0.423846982
86	0.4235541231
87	0.4233100302
88	0.4230076477
89	0.4227767517
90	0.4225599947
91	0.4223823962
92	0.4221607928
93	0.4218984311
94	0.4217060259
95	0.4215757128
96	0.4212994054
97	0.421085803
98	0.4208411296
99	0.4206121605
100	0.4204912902
101	0.4203361627
102	0.420250389
103	0.4200838022
104	0.4198457923
105	0.4196530929
106	0.4194654985
107	0.4193831645
108	0.4191848127
109	0.4189327517
110	0.4188669108
111	0.4186838203
112	0.4184881903
113	0.418333454
114	0.4181957675
115	0.4180685457
116	0.4178134921
117	0.4176304524
118	0.4174269821
119	0.4173157609
120	0.4171668648
121	0.4170396786
122	0.4169806902
123	0.4167445472
124	0.4166344834
125	0.4164748075
126	0.4163831669
127	0.4162379793
128	0.4161751862
129	0.4159839964
130	0.4158616743
131	0.4157032118
132	0.4154999681
133	0.4153291621
134	0.4152328316
135	0.4151118972
136	0.4149716142
137	0.4148079268
138	0.4147017232
139	0.4145589722
140	0.4144205992
141	0.4143128051
142	0.4142479184
143	0.4140841178
144	0.4139373514
145	0.4137442634
146	0.4135831414
147	0.4134680999
148	0.4133861583
149	0.413294944
150	0.4131822801
151	0.4130677309
152	0.412962106
153	0.4128865026
154	0.41276231
155	0.4126741655
156	0.4125217112
157	0.4123867272
158	0.4121295467
159	0.4119981796
160	0.4119336233
161	0.4118851364
162	0.4116649438
163	0.4116564911
164	0.411518516
165	0.4114526301
166	0.4114069094
167	0.4112786275
168	0.4110628466
169	0.4109063813
170	0.4108300627
171	0.4107774016
172	0.4106137182
173	0.4104887847
174	0.4103586402
175	0.410274163
176	0.4102056474
177	0.4101255573
178	0.4100047539
179	0.409931251
180	0.409747734
181	0.4095398805
182	0.4094063624
183	0.409270238
184	0.409075593
185	0.4089866088
186	0.4088661363
187	0.4087028521
188	0.4085236395
189	0.4083908163
190	0.40822569
191	0.4081259775
192	0.4080371049
193	0.407913503
194	0.4078622733
195	0.4077553749
196	0.407668803
197	0.4076095932
198	0.4075442474
199	0.4074405812
200	0.4072234963
201	0.4070832565
202	0.4069107272
203	0.4066959813
204	0.4065725536
205	0.4064726904
206	0.4063407105
207	0.4061682943
208	0.4060901654
209	0.4060278244
210	0.4059123706
211	0.4058669928
212	0.4057688475
213	0.4057102719
214	0.4055995034
215	0.4054759604
216	0.405430312
217	0.4053728579
218	0.4052984081
219	0.4051803904
220	0.4051333888
221	0.4050571817
222	0.404909275
223	0.4047869185
224	0.404714636
225	0.4046092903
226	0.4045332615
227	0.4044465361
228	0.4043226973
229	0.4041631756
230	0.4040431122
231	0.4039750958
232	0.4038516491
233	0.403840735
234	0.4037507839
235	0.4036436383
236	0.4034545975
237	0.4033425915
238	0.4032699601
239	0.4032087818
240	0.4030333786
241	0.4029345626
242	0.402872141
243	0.402772651
244	0.4027384899
245	0.4025916214
246	0.4024388432
247	0.4023240786
248	0.4021879883
249	0.4020785644
250	0.4019573144
251	0.4018321691
252	0.4017378377
253	0.4015424623
254	0.4013867056
255	0.4012741755
256	0.4011939403
257	0.4010464233
258	0.4009196198
259	0.4008229957
260	0.4007023201
261	0.4005004363
262	0.4003540596
263	0.4002582461
264	0.4002103068
265	0.4000595845
266	0.4000063459
267	0.3999284637
268	0.3997191095
269	0.3995999346
270	0.3995164145
271	0.3994081198
272	0.3992902039
273	0.3991820925
274	0.3990999523
275	0.3989334233
276	0.3988611463
277	0.3987495496
278	0.3986465022
279	0.3985636329
280	0.3984378405
281	0.3983483704
282	0.398267417
283	0.3981710586
284	0.3981112433
285	0.3979672446
286	0.3979225474
287	0.3978359107
288	0.397642837
289	0.3975692528
290	0.397458335
291	0.3973697052
292	0.397275266
293	0.3971866277
294	0.3970670669
295	0.3969531038
296	0.3968745745
297	0.3967354242
298	0.3966148057
299	0.3965060003
300	0.3964078132
301	0.3963319909
302	0.3962694076
303	0.3961881254
304	0.3960853211
305	0.3959744221
306	0.3958712042
307	0.3957720764
308	0.3956600564
309	0.3955318136
310	0.3953761352
311	0.3952161723
312	0.3950843011
313	0.3950101116
314	0.3949288167
315	0.394815279
316	0.3946370902
317	0.3945389879
318	0.3944341755
319	0.3942899028
320	0.3941875301
321	0.3940499188
322	0.3938990599
323	0.3937578938
324	0.3936284128
325	0.393485161
326	0.3933840774
327	0.3932626166
328	0.3930988907
329	0.3929780546
330	0.3928679878
331	0.3927520755
332	0.3926499044
333	0.3924417282
334	0.3923073506
335	0.3921974943
336	0.3921255895
337	0.3919705085
338	0.3918721048
339	0.3918351281
340	0.3917619708
341	0.3915820479
342	0.3914881788
343	0.391368728
344	0.3912560435
345	0.3911699333
346	0.3910617853
347	0.3909529775
348	0.3907530517
349	0.3906985496
350	0.390605444
351	0.3905328241
352	0.3904291338
353	0.3903354624
354	0.3901929876
355	0.3900638945
356	0.3899146455
357	0.3898225999
358	0.3896225578
359	0.3895524331
360	0.3894426698
361	0.389286185
362	0.3891809944
363	0.389080386
364	0.3889845297
365	0.3888939973
366	0.388829375
367	0.388759922
368	0.3886317074
369	0.3885398956
370	0.3885083946
371	0.3883880967
372	0.3882921155
373	0.3880968096
374	0.387868084
375	0.3877980062
376	0.3876502337
377	0.3875289747
378	0.3874787457
379	0.3873955163
380	0.3872892463
381	0.3872368211
382	0.3870305276
383	0.3869932109
384	0.3868805851
385	0.3868215526
386	0.3867489309
387	0.3866499643
388	0.3864489704
389	0.3862839082
390	0.3861940032
391	0.3860675883
392	0.3859661279
393	0.3858416919
394	0.3857102842
395	0.3855451391
396	0.3854545991
397	0.3853921472
398	0.3852872991
399	0.3851563948
400	0.3850473784
401	0.3849369347
402	0.3847845396
403	0.3846776069
404	0.3845610174
405	0.3843767005
406	0.3842660751
407	0.3841934596
408	0.3839893975
409	0.3839014792
410	0.3837842315
411	0.3836091129
412	0.3835049328
413	0.3833553254
414	0.3832282004
415	0.383171703
416	0.3830951692
417	0.3828876748
418	0.382826963
419	0.3827334744
420	0.3826023145
421	0.3825233974
422	0.3824047225
423	0.3823363114
424	0.382199956
425	0.382119776
426	0.3820093593
427	0.3819279541
428	0.3818429287
429	0.3815895837
430	0.3815453169
431	0.3814435389
432	0.381332835
433	0.3812412865
434	0.381161269
435	0.3810808959
436	0.3808540914
437	0.3807695292
438	0.380562335
439	0.3804837327
440	0.3803118702
441	0.380169618
442	0.3800522737
443	0.3798805424
444	0.3798132571
445	0.3796429804
446	0.3795458094
447	0.3794189512
448	0.3792708122
449	0.3792116502
450	0.3791132223
451	0.3790839999
452	0.3789915347
453	0.3788687874
454	0.3787476444
455	0.378609454
456	0.3785644881
457	0.378427577
458	0.3783958051
459	0.3783006702
460	0.378255952
461	0.3781408767
462	0.3779580185
463	0.3777893759
464	0.3776741935
465	0.377569915
466	0.377452912
467	0.3773746404
468	0.3772083079
469	0.3770899279
470	0.3769735081
471	0.3768313719
472	0.3767700549
473	0.3766259275
474	0.3764703962
475	0.3763190891
476	0.376211185
477	0.3761163255
478	0.3760300348
479	0.375856523
480	0.3757471711
481	0.3756696898
482	0.3755077148
483	0.3753367011
484	0.3752534816
485	0.3752225378
486	0.3750500736
487	0.3749793938
488	0.3748677823
489	0.3747298938
490	0.3745887634
491	0.3744785928
492	0.3744047699
493	0.3743216483
494	0.3742374941
495	0.3741548861
496	0.3740509036
497	0.3739683583
498	0.3738625361
499	0.3737305792
500	0.3736734182
501	0.3735460162
502	0.3734391452
503	0.3733106961
504	0.3732388724
505	0.3731318486
506	0.3730978741
507	0.3730273807
508	0.3729019066
509	0.3728108429
510	0.3726429858
511	0.3725763462
512	0.3724683968
513	0.3724353831
514	0.3723181793
515	0.3720936142
516	0.3719692221
517	0.3718586318
518	0.3716686413
519	0.371604843
520	0.371477349
521	0.3713918288
522	0.3712695461
523	0.3711223607
524	0.3710186405
525	0.370909157
526	0.3708723744
527	0.3707693406
528	0.3706309763
529	0.3704500009
530	0.3702997819
531	0.3702229834
532	0.3700845398
533	0.3700068753
534	0.3699410315
535	0.3698369632
536	0.3697347188
537	0.3696755351
538	0.3696056155
539	0.3695696818
540	0.3694540672
541	0.3693544972
542	0.3692258834
543	0.3691059948
544	0.3689415512
545	0.3688815512
546	0.3687895961
547	0.3686695623
548	0.3685692527
549	0.3684697542
550	0.3683889465
551	0.368286071
552	0.368186522
553	0.3681080392
554	0.3680422756
555	0.3678882932
556	0.3677790378
557	0.367631734
558	0.3675715408
559	0.3674133772
560	0.367328796
561	0.3672450278
562	0.3670941427
563	0.3669752591
564	0.3668815463
565	0.3667157938
566	0.3666314962
567	0.3665698473
568	0.3664633613
569	0.3663290914
570	0.366288702
571	0.3661892955
572	0.3661217418
573	0.3660266289
574	0.3658514775
575	0.3657732545
576	0.3657167205
577	0.3656603738
578	0.3656254416
579	0.3655436841
580	0.365436297
581	0.3653620214
582	0.3652429915
583	0.3651186349
584	0.3650546334
585	0.3649913037
586	0.3649180969
587	0.364817089
588	0.3647033069
589	0.3645752268
590	0.3644310501
591	0.3643144343
592	0.3642321539
593	0.3641424981
594	0.3640146087
595	0.3639785578
596	0.3638922486
597	0.3638512138
598	0.3637194113
599	0.3635636492
600	0.363518597
601	0.3634482183
602	0.3632940125
603	0.3631741305
